#            mhscp               mint              mprod               ctau              width        SR1FULL_175
     5.0000000e+01      1.0400000e+02      2.0000000e+02      1.0000000e+99      0.0000000e+00      0.0000000e+00
     5.0000000e+01      1.1030000e+03      3.0000000e+03      1.0000000e+99      0.0000000e+00      0.0000000e+00
     5.0000000e+01      1.1400000e+02      1.5000000e+02      1.0000000e+99      0.0000000e+00      0.0000000e+00
     5.0000000e+01      1.1600000e+02      2.5000000e+02      1.0000000e+99      0.0000000e+00      0.0000000e+00
     5.0000000e+01      1.2000000e+02      1.2500000e+02      1.0000000e+99      0.0000000e+00      0.0000000e+00
     5.0000000e+01      1.2200000e+02      6.0000000e+02      1.0000000e+99      0.0000000e+00      0.0000000e+00
     5.0000000e+01      1.2730000e+03      2.0000000e+03      1.0000000e+99      0.0000000e+00      0.0000000e+00
     5.0000000e+01      1.2700000e+02      3.0000000e+02      1.0000000e+99      0.0000000e+00      0.0000000e+00
     5.0000000e+01      1.2910000e+03      5.0000000e+03      1.0000000e+99      0.0000000e+00      0.0000000e+00
     5.0000000e+01      1.3400000e+02      8.0000000e+02      1.0000000e+99      0.0000000e+00      0.0000000e+00
     5.0000000e+01      1.3500000e+02      2.0000000e+03      1.0000000e+99      0.0000000e+00      0.0000000e+00
     5.0000000e+01      1.3680000e+03      4.0000000e+03      1.0000000e+99      0.0000000e+00      0.0000000e+00
     5.0000000e+01      1.3600000e+02      5.0000000e+03      1.0000000e+99      0.0000000e+00      0.0000000e+00
     5.0000000e+01      1.4200000e+02      2.0000000e+02      1.0000000e+99      0.0000000e+00      0.0000000e+00
     5.0000000e+01      1.4300000e+02      2.5000000e+03      1.0000000e+99      0.0000000e+00      0.0000000e+00
     5.0000000e+01      1.4400000e+02      1.0000000e+03      1.0000000e+99      0.0000000e+00      0.0000000e+00
     5.0000000e+01      1.4500000e+02      1.5000000e+02      1.0000000e+99      0.0000000e+00      0.0000000e+00
     5.0000000e+01      1.4700000e+02      4.0000000e+02      1.0000000e+99      0.0000000e+00      0.0000000e+00
     5.0000000e+01      1.4950000e+03      1.5000000e+03      1.0000000e+99      0.0000000e+00      0.0000000e+00
     5.0000000e+01      1.4900000e+02      3.0000000e+03      1.0000000e+99      0.0000000e+00      0.0000000e+00
     5.0000000e+01      1.5490000e+03      2.5000000e+03      1.0000000e+99      0.0000000e+00      0.0000000e+00
     5.0000000e+01      1.6100000e+02      4.0000000e+03      1.0000000e+99      0.0000000e+00      0.0000000e+00
     5.0000000e+01      1.6500000e+02      1.5000000e+03      1.0000000e+99      0.0000000e+00      0.0000000e+00
     5.0000000e+01      1.6900000e+02      2.5000000e+02      1.0000000e+99      0.0000000e+00      0.0000000e+00
     5.0000000e+01      1.8170000e+03      3.0000000e+03      1.0000000e+99      0.0000000e+00      0.0000000e+00
     5.0000000e+01      1.8100000e+02      6.0000000e+02      1.0000000e+99      0.0000000e+00      0.0000000e+00
     5.0000000e+01      1.9400000e+02      3.0000000e+02      1.0000000e+99      0.0000000e+00      0.0000000e+00
     5.0000000e+01      1.9500000e+02      2.0000000e+02      1.0000000e+99      0.0000000e+00      0.0000000e+00
     5.0000000e+01      1.9950000e+03      2.0000000e+03      1.0000000e+99      0.0000000e+00      0.0000000e+00
     5.0000000e+01      2.0270000e+03      5.0000000e+03      1.0000000e+99      0.0000000e+00      0.0000000e+00
     5.0000000e+01      2.0900000e+02      8.0000000e+02      1.0000000e+99      0.0000000e+00      0.0000000e+00
     5.0000000e+01      2.1100000e+02      2.0000000e+03      1.0000000e+99      0.0000000e+00      0.0000000e+00
     5.0000000e+01      2.1300000e+02      5.0000000e+03      1.0000000e+99      0.0000000e+00      0.0000000e+00
     5.0000000e+01      2.3000000e+02      2.5000000e+03      1.0000000e+99      0.0000000e+00      0.0000000e+00
     5.0000000e+01      2.3380000e+03      4.0000000e+03      1.0000000e+99      0.0000000e+00      0.0000000e+00
     5.0000000e+01      2.3400000e+02      1.0000000e+03      1.0000000e+99      0.0000000e+00      0.0000000e+00
     5.0000000e+01      2.4100000e+02      4.0000000e+02      1.0000000e+99      0.0000000e+00      0.0000000e+00
     5.0000000e+01      2.4500000e+02      2.5000000e+02      1.0000000e+99      0.0000000e+00      0.0000000e+00
     5.0000000e+01      2.4600000e+02      3.0000000e+03      1.0000000e+99      0.0000000e+00      0.0000000e+00
     5.0000000e+01      2.4950000e+03      2.5000000e+03      1.0000000e+99      0.0000000e+00      0.0000000e+00
     5.0000000e+01      2.6900000e+02      6.0000000e+02      1.0000000e+99      0.0000000e+00      0.0000000e+00
     5.0000000e+01      2.7400000e+02      4.0000000e+03      1.0000000e+99      0.0000000e+00      0.0000000e+00
     5.0000000e+01      2.8700000e+02      1.5000000e+03      1.0000000e+99      0.0000000e+00      0.0000000e+00
     5.0000000e+01      2.9500000e+02      3.0000000e+02      1.0000000e+99      0.0000000e+00      0.0000000e+00
     5.0000000e+01      2.9950000e+03      3.0000000e+03      1.0000000e+99      0.0000000e+00      0.0000000e+00
     5.0000000e+01      3.1820000e+03      5.0000000e+03      1.0000000e+99      0.0000000e+00      0.0000000e+00
     5.0000000e+01      3.2600000e+02      8.0000000e+02      1.0000000e+99      0.0000000e+00      0.0000000e+00
     5.0000000e+01      3.3100000e+02      2.0000000e+03      1.0000000e+99      0.0000000e+00      0.0000000e+00
     5.0000000e+01      3.3400000e+02      5.0000000e+03      1.0000000e+99      0.0000000e+00      0.0000000e+00
     5.0000000e+01      3.7000000e+02      2.5000000e+03      1.0000000e+99      0.0000000e+00      0.0000000e+00
     5.0000000e+01      3.7900000e+02      1.0000000e+03      1.0000000e+99      0.0000000e+00      0.0000000e+00
     5.0000000e+01      3.9500000e+02      4.0000000e+02      1.0000000e+99      0.0000000e+00      0.0000000e+00
     5.0000000e+01      3.9950000e+03      4.0000000e+03      1.0000000e+99      0.0000000e+00      0.0000000e+00
     5.0000000e+01      4.0000000e+02      6.0000000e+02      1.0000000e+99      0.0000000e+00      0.0000000e+00
     5.0000000e+01      4.0600000e+02      3.0000000e+03      1.0000000e+99      0.0000000e+00      0.0000000e+00
     5.0000000e+01      4.6900000e+02      4.0000000e+03      1.0000000e+99      0.0000000e+00      0.0000000e+00
     5.0000000e+01      4.9700000e+02      1.5000000e+03      1.0000000e+99      0.0000000e+00      0.0000000e+00
     5.0000000e+01      4.9950000e+03      5.0000000e+03      1.0000000e+99      0.0000000e+00      0.0000000e+00
     5.0000000e+01      5.0900000e+02      8.0000000e+02      1.0000000e+99      0.0000000e+00      0.0000000e+00
     5.0000000e+01      5.1900000e+02      2.0000000e+03      1.0000000e+99      0.0000000e+00      0.0000000e+00
     5.0000000e+01      5.2400000e+02      5.0000000e+03      1.0000000e+99      0.0000000e+00      0.0000000e+00
     5.0000000e+01      5.3000000e+01      5.5000000e+01      1.0000000e+99      0.0000000e+00      0.0000000e+00
     5.0000000e+01      5.5000000e+01      1.0000000e+02      1.0000000e+99      0.0000000e+00      0.0000000e+00
     5.0000000e+01      5.5000000e+01      1.0000000e+03      1.0000000e+99      0.0000000e+00      0.0000000e+00
     5.0000000e+01      5.5000000e+01      1.2500000e+02      1.0000000e+99      0.0000000e+00      0.0000000e+00
     5.0000000e+01      5.5000000e+01      1.5000000e+02      1.0000000e+99      0.0000000e+00      0.0000000e+00
     5.0000000e+01      5.5000000e+01      1.5000000e+03      1.0000000e+99      0.0000000e+00      0.0000000e+00
     5.0000000e+01      5.5000000e+01      2.0000000e+02      1.0000000e+99      0.0000000e+00      0.0000000e+00
     5.0000000e+01      5.5000000e+01      2.0000000e+03      1.0000000e+99      0.0000000e+00      0.0000000e+00
     5.0000000e+01      5.5000000e+01      2.5000000e+02      1.0000000e+99      0.0000000e+00      0.0000000e+00
     5.0000000e+01      5.5000000e+01      2.5000000e+03      1.0000000e+99      0.0000000e+00      0.0000000e+00
     5.0000000e+01      5.5000000e+01      3.0000000e+02      1.0000000e+99      0.0000000e+00      0.0000000e+00
     5.0000000e+01      5.5000000e+01      3.0000000e+03      1.0000000e+99      0.0000000e+00      0.0000000e+00
     5.0000000e+01      5.5000000e+01      4.0000000e+02      1.0000000e+99      0.0000000e+00      0.0000000e+00
     5.0000000e+01      5.5000000e+01      4.0000000e+03      1.0000000e+99      0.0000000e+00      0.0000000e+00
